step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.007650846099517,0,0.0,0.9422690370894287,0,0.0
10.0,0,0.0,0.0,13.040004612975162,0,0.0,0.8895418677492505,0,0.0
15.0,2,2.0,0.16666666666666666,8.778622613963629,2,2.0,0.6466965919534029,2,2.0
20.0,2,4.0,0.3076923076923077,7.067814213660755,2,10.0,0.5598862530048475,2,10.0
25.0,1,7.0,0.3888888888888889,9.135298113082783,1,7.0,0.5992491008875919,1,7.0
30.0,2,17.0,0.8947368421052632,11.815698154918227,2,17.0,0.6815354649952883,2,17.0
35.0,0,0.0,0.0,8.865402981873968,0,1.0,0.5297614462127876,0,1.0
40.0,3,11.0,0.5789473684210527,9.259037772987961,3,11.0,0.5906552758242497,3,11.0
45.0,5,32.0,1.5238095238095237,9.081807705276088,5,32.0,0.5701791022511343,5,32.0
50.0,7,61.0,3.210526315789474,5.425354272011516,7,61.0,0.2959697866972546,7,61.0
55.0,12,109.0,5.190476190476191,3.6356195572242194,12,109.0,0.2107911373507672,12,109.0
60.0,16,184.0,8.0,2.961217800876739,16,184.0,0.1716149217894858,16,184.0
65.0,19,273.0,10.5,3.2355201928002,19,273.0,0.19212733229725557,19,273.0
70.0,20,372.0,12.827586206896552,3.0715888478793896,20,372.0,0.14872208592241284,20,372.0
75.0,20,333.0,10.40625,2.847792708584704,20,403.0,0.1413200885778029,20,403.0
80.0,14,156.0,4.216216216216216,4.760126381666639,14,353.0,0.25514961022381477,14,353.0
85.0,9,64.0,1.641025641025641,6.738448379792039,9,279.0,0.3270396086170267,9,279.0
90.0,4,7.0,0.18421052631578946,5.373906823730061,4,302.0,0.2453804803252409,4,302.0
95.0,8,35.0,0.9459459459459459,5.551179787755599,8,328.0,0.24279110095385384,8,328.0
100.0,15,95.0,2.5675675675675675,4.0657936249918984,15,388.0,0.18393285877094362,15,388.0
105.0,20,181.0,4.7631578947368425,2.6708553939376976,20,475.0,0.12622377821303138,20,475.0
