step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.211853189852983,0,0.0,0.9861175104414976,0,0.0
10.0,0,0.0,0.0,13.953925405178191,0,0.0,0.9602718161245691,0,0.0
15.0,0,0.0,0.0,11.05023010618415,0,0.0,0.8278011777993722,0,0.0
20.0,1,3.0,0.3,8.600502194094494,1,3.0,0.5830193005800799,1,3.0
25.0,3,17.0,1.2142857142857142,9.189075720018748,3,17.0,0.6429305183011044,3,17.0
30.0,6,38.0,2.533333333333333,6.469253921822638,6,38.0,0.48045732764577553,6,38.0
35.0,7,72.0,3.6,7.0297296330583965,7,72.0,0.4465078583770354,7,72.0
40.0,10,113.0,4.708333333333333,5.255015845183918,10,113.0,0.301980164299796,10,113.0
45.0,14,127.0,4.703703703703703,3.5998722029723584,14,127.0,0.25379686202928076,14,127.0
50.0,10,44.0,1.4666666666666666,4.672671462928146,10,140.0,0.28886364681821314,10,140.0
55.0,5,18.0,0.5454545454545454,5.9782338651655715,5,95.0,0.26363355797758337,5,95.0
60.0,3,18.0,0.5294117647058824,7.115298779395653,3,82.0,0.34791944104412303,3,82.0
65.0,3,33.0,1.0,8.833017282285113,3,57.0,0.505886518620298,3,57.0
70.0,3,48.0,1.6,9.367714731908627,3,57.0,0.6112696994366075,3,57.0
75.0,5,67.0,2.392857142857143,8.7766699583585,5,67.0,0.5028143950475005,5,67.0
80.0,5,92.0,3.1724137931034484,9.836987232544924,5,92.0,0.6050582225257713,5,92.0
85.0,5,117.0,4.178571428571429,10.327614977130692,5,117.0,0.6710704405178529,5,117.0
90.0,2,19.0,0.7037037037037037,8.420896265331827,2,67.0,0.5245407303629632,2,67.0
95.0,3,13.0,0.5416666666666666,7.413038695126381,3,13.0,0.41155083181550295,3,13.0
100.0,9,49.0,1.8846153846153846,7.734943390289548,9,49.0,0.33324827074747704,9,49.0
105.0,10,98.0,4.260869565217392,6.2802234885588435,10,98.0,0.18914963208275687,10,98.0
